source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,spin_S,multiplicity,alpha,beta,coefficient,weight,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11100000000000000000000000000,01100000000100000000000000000,-0.06072270,0.00368725,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01110000000000000000000000000,10100000000000000010000000000,-0.05256980,0.00276358,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,01110000000000000000000000000,11000000000000000100000000000,0.05256980,0.00276358,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,10100000000000000010000000000,01110000000000000000000000000,-0.05256980,0.00276358,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,0.000,1.000,11000000000000000100000000000,01110000000000000000000000000,0.05256980,0.00276358,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,1,-106.980387499000,0.000,1.000,11100000000000000000000000000,11100000000000000000000000000,0.99016620,0.98042910,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01110000000000000000000000000,0.52320180,0.27374012,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01110000000000000000000000000,11100000000000000000000000000,-0.52320180,0.27374012,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,11100000000000000000000000000,01100010000000000000000000000,0.24258800,0.05884894,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,1.500000,2,-106.718439369500,1.000,3.000,01100010000000000000000000000,11100000000000000000000000000,-0.24258800,0.05884894,printed_ci_coefficient_threshold_from_output
