source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,energy_rel_eV,gap_to_previous_Ha,gap_to_previous_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,multiplicity,s2,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,charge_Li,charge_F,natural_occupation_summary,notes
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.000000,2,-106.771886328700,5.76180280,0.052867628800,1.43860147,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.000000,3,-106.768274468100,5.86008653,0.003611860600,0.09828373,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.250000,1,-106.816096972500,4.55876990,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.250000,2,-106.771859225100,5.76254033,0.044237747400,1.20377043,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.250000,3,-106.768991073100,5.84058672,0.002868152000,0.07804639,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.500000,1,-106.808420408800,4.76765983,,,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,single_points_properties,single_point,normal,4.500000,1,-106.808420404200,4.76765996,,,20.23930100,0.00000000,0.00000000,-20.23930100,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.97271020,11010000000000000000000000000|11100000000000000000000000000,0.08210230,0.92531700,-0.92531700,2.0000 2.0000 2.0000 1.9833 1.9833,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.500000,2,-106.771739283700,5.76580410,0.036681125100,0.99814426,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,single_points_properties,single_point,normal,4.500000,2,-106.771739266200,5.76580457,0.036681138000,0.99814461,,,,,3.000,2.000000,11100000000000000000000000000|11010000000000000000000000000,0.63400780,11010000000000000000000000000|11100000000000000000000000000,-0.63400780,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.500000,3,-106.769486902400,5.82709452,0.002252381300,0.06129042,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,single_points_properties,single_point,normal,4.500000,3,-106.769486885700,5.82709497,0.002252380500,0.06129040,,,,,1.000,0.000000,11010000000000000000000000000|11100000000000000000000000000,0.63469650,11100000000000000000000000000|11010000000000000000000000000,0.63469650,,,,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.750000,1,-106.801586085700,4.95363124,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.750000,2,-106.771579490100,5.77015230,0.030006595600,0.81652106,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,4.750000,3,-106.769816064200,5.81813757,0.001763425900,0.04798526,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.000000,1,-106.795476558800,5.11987994,,,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,single_points_properties,single_point,normal,5.000000,1,-106.795476558300,5.11987995,,,22.63594500,0.00000000,0.00000000,-22.63594500,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,-0.97051150,11100000000000000000000000000|11010000000000000000000000000,0.09741090,0.93377000,-0.93377000,2.0000 2.0000 2.0000 1.9835 1.9835,ci_eigenvector
lif_scan/LiF_CI.out,lif_scan,surface,normal,5.000000,2,-106.771407523600,5.77483175,0.024069035200,0.65495181,,,,,,,,,,,,,,surface_scan
