source_file,R_A,state,energy_Ha,energy_rel_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,charge_Li,charge_F,s2,multiplicity,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,natural_occupation_summary,status,notes
new_runs/single_points_properties/outputs/lif_sp_R_6_10.out,6.100000,1,-106.775126982300,5.67362012,24.59339800,0.00000000,0.00000000,-24.59339800,0.83078100,-0.83078100,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.91129370,11010000000000000000000000000|11100000000000000000000000000,-0.24507640,2.0000 2.0000 2.0000 1.9816 1.9816,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_10.out,6.100000,2,-106.770674244800,5.79478528,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65759090,11100000000000000000000000000|11010000000000000000000000000,-0.65759090,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_10.out,6.100000,3,-106.769784404300,5.81899908,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.61077110,11010000000000000000000000000|11100000000000000000000000000,-0.61077110,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_20.out,6.200000,1,-106.773796354900,5.70982834,22.78342800,0.00000000,0.00000000,-22.78342800,0.75557800,-0.75557800,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.87040910,11100000000000000000000000000|11010000000000000000000000000,0.30410510,2.0000 2.0000 2.0000 1.9808 1.9808,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_20.out,6.200000,2,-106.770619847700,5.79626550,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65849170,11100000000000000000000000000|11010000000000000000000000000,-0.65849170,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_20.out,6.200000,3,-106.769599412900,5.82403295,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,0.58457380,11010000000000000000000000000|11100000000000000000000000000,0.58457380,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_50.out,6.500000,1,-106.771180928700,5.78099771,7.12997100,0.00000000,0.00000000,-7.12997100,0.22076100,-0.22076100,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,0.57544320,11100000000000000000000000000|11010000000000000000000000000,0.57544320,2.0000 2.0000 2.0000 1.9890 1.9890,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_50.out,6.500000,2,-106.770478169200,5.80012077,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,0.66093780,11010000000000000000000000000|11100000000000000000000000000,-0.66093780,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_6_50.out,6.500000,3,-106.767966914100,5.86845550,,,,,,,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.86219440,11010000000000000000000000000|11100000000000000000000000000,0.32567320,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_7_00.out,7.000000,1,-106.770394208100,5.80240547,0.39717600,0.00000000,0.00000000,-0.39717600,0.01093800,-0.01093800,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,0.65941680,11100000000000000000000000000|11010000000000000000000000000,0.65941680,2.0000 2.0000 2.0000 1.9987 1.9987,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_7_00.out,7.000000,2,-106.770312899600,5.80461799,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,0.66418110,11010000000000000000000000000|11100000000000000000000000000,-0.66418110,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_7_00.out,7.000000,3,-106.762563136200,6.01549979,,,,,,,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.98011570,11100000000000000000000000000|11010000000000000000000000000,-0.08022490,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_7_50.out,7.500000,1,-106.770235531000,5.80672329,0.04897200,0.00000000,0.00000000,-0.04897200,0.00156100,-0.00156100,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.66585180,11010000000000000000000000000|11100000000000000000000000000,-0.66585180,2.0000 2.0000 2.0000 1.9992 1.9992,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_7_50.out,7.500000,2,-106.770218208000,5.80719468,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.66663670,11100000000000000000000000000|11010000000000000000000000000,0.66663670,,normal,ci_eigenvector
